iter	Logloss
0	0.6662319879
1	0.6429421081
2	0.6216509007
3	0.5973714487
4	0.5773561777
5	0.5590138204
6	0.5404298463
7	0.5231761326
8	0.5056932475
9	0.4882562919
10	0.4727450052
11	0.459066903
12	0.4439408009
13	0.4295401585
14	0.416060108
15	0.4027531028
16	0.3894231977
17	0.3779099211
18	0.3681426269
19	0.3589347843
20	0.3505407308
21	0.3403968313
22	0.3300881031
23	0.3206348479
24	0.3121028438
25	0.3048245559
26	0.2976680954
27	0.2903811868
28	0.2835475308
29	0.2763511749
30	0.2710935812
31	0.2652298913
32	0.2599394099
33	0.2553687728
34	0.2504375226
35	0.245248712
36	0.2415227022
37	0.236396934
38	0.2327049284
39	0.2283501923
40	0.2233427123
41	0.2204105491
42	0.217240943
43	0.2124917835
44	0.2088938493
45	0.2057908796
46	0.2023212921
47	0.1985429891
48	0.1956282255
49	0.1935047123
50	0.1903390572
51	0.187470917
52	0.1844650571
53	0.1823284953
54	0.1793716823
55	0.1763764776
56	0.1739257303
57	0.1716498127
58	0.1691647222
59	0.1669352851
60	0.164551034
61	0.1625745383
62	0.1614148855
63	0.1595646599
64	0.1576780194
65	0.1557893543
66	0.1535816689
67	0.1517890107
68	0.1498030364
69	0.1482377858
70	0.1466785367
71	0.1450346143
72	0.1436310088
73	0.1421750355
74	0.1406284289
75	0.1391729887
76	0.1378203684
77	0.1365101636
78	0.1353997976
79	0.1343889729
80	0.1334865785
81	0.13217672
82	0.1313163088
83	0.1305499804
84	0.1294935109
85	0.1286127164
86	0.1279265719
87	0.1271125699
88	0.1263369383
89	0.1253552186
90	0.1243483217
91	0.123559973
92	0.1228893103
93	0.1225897495
94	0.121837028
95	0.1211156392
96	0.1203174305
97	0.1195648494
98	0.1187170403
99	0.1184589908
100	0.1176778612
101	0.1169994304
102	0.116376017
103	0.1157884642
104	0.1153557066
105	0.1148144652
106	0.11462193
107	0.1142098137
108	0.113715082
109	0.1133694311
110	0.1130304541
111	0.1125013472
112	0.1117937211
113	0.1111369525
114	0.1106147693
115	0.1100805663
116	0.1096298416
117	0.1092435188
118	0.1088252002
119	0.1084101049
120	0.1079470238
121	0.1075966352
122	0.1071184159
123	0.1068727645
124	0.1064950224
125	0.1062211543
126	0.1058409155
127	0.1052524793
128	0.1050029044
129	0.1045511168
130	0.1041996813
131	0.1037980678
132	0.103446907
133	0.103030154
134	0.1026590762
135	0.102369459
136	0.1020161837
137	0.1016831044
138	0.1012992997
139	0.1009338786
140	0.1005377607
141	0.1001602436
142	0.09985228489
143	0.09952457381
144	0.09922100294
145	0.09896777215
146	0.09859616006
147	0.09848797885
148	0.09806722285
149	0.09775668147
150	0.09742255202
151	0.09701005989
152	0.09668344626
153	0.09638339358
